Date,Open,High,Low,Closed Price, Volume,Buy Sell,Vn-index,Dowjones,Private trade volume
11/12/2009,97500,102000,100000,102000,161560,82490,545.98,10318.16016,0
11/13/2009,102000,103000,100000,103000,183080,-1050,548.21,10450.9502,0
11/16/2009,103000,108000,107000,108000,190440,59290,545.7,10433.70996,0
11/17/2009,108000,112000,108000,112000,444440,-50890,547.08,10464.40039,0
11/18/2009,112000,114000,109000,110000,599030,-398650,553.83,10309.91992,0
11/19/2009,110000,110000,105000,108000,426010,-246690,560.05,10344.83984,0
11/20/2009,108000,112000,105000,112000,195130,-10100,555.84,10471.58008,0
11/23/2009,112000,110000,107000,110000,122000,-68260,537.29,10452.67969,0
11/24/2009,110000,112000,108000,111000,73070,21840,527.13,10366.15039,0
11/25/2009,111000,110000,106000,108000,73500,-126100,503.41,10388.90039,0
11/26/2009,108000,113000,103000,113000,139450,-6710,482.6,10390.11035,0
11/27/2009,113000,115000,108000,112000,127600,680,490.62,10285.96973,0
11/30/2009,112000,117000,111000,117000,104680,58370,504.12,10337.04981,0
12/1/2009,117000,117000,114000,115000,129550,-55560,514.92,10405.83008,0
12/2/2009,115000,114000,111000,112000,44700,-69180,499.14,10471.5,0
12/3/2009,112000,112000,107000,110000,82200,-56540,494.8,10501.04981,0
12/4/2009,110000,110000,105000,106000,265970,-81030,494.96,10452,0
12/7/2009,106000,106000,102000,105000,196900,-37970,498.61,10441.12012,0
12/8/2009,105000,105000,101000,105000,270030,-44950,488.47,10308.25977,0
12/9/2009,105000,105000,100000,103000,33670,-232450,470.63,10328.88965,0
12/10/2009,103000,103000,99000,103000,95520,-130060,458.72,10414.13965,0
12/11/2009,103000,104000,98000,104000,67400,-73450,444.16,10464.92969,0
12/14/2009,104000,108000,104000,106000,72360,-111290,458.39,10466.44043,0
12/15/2009,106000,106000,101000,101000,102670,-389960,459.44,10520.08984,0
12/16/2009,101000,97000,96000,96000,99920,-314890,442.1,10547.08008,0
12/17/2009,96000,93000,91500,93000,164980,-69430,434.87,10545.41016,50000
12/18/2009,93000,91000,88500,88500,154510,-543850,443.34,10548.50977,0
12/21/2009,88500,92500,86500,92500,23770,38680,460.99,10428.04981,25000
12/22/2009,92500,97000,95000,97000,20950,60330,465.24,10583.95996,25000
12/23/2009,97000,101000,92500,101000,21280,-1550,470.75,10572.01953,0
12/24/2009,101000,101000,97000,100000,34240,-43890,479.13,10573.67969,0
12/25/2009,100000,103000,100000,100000,80110,-2640,495.08,10606.86035,0
12/28/2009,100000,100000,95500,97000,22000,-10340,492.57,10618.19043,0
12/29/2009,97000,97500,92500,92500,42220,-61200,484.45,10663.99023,0
12/30/2009,92500,94500,89000,94000,62190,21710,495.36,10627.25977,0
12/31/2009,94000,97500,92000,94000,112700,-15770,494.77,10680.76953,0
1/4/2010,94000,98000,94000,98000,28450,50050,517.05,10710.54981,0
1/5/2010,98000,102000,99000,99500,81630,-151230,532.53,10609.65039,0
1/6/2010,99500,100000,96000,97500,26740,-16930,534.46,10725.42969,0
1/7/2010,97500,97500,94000,97500,30400,-21800,533.34,10603.15039,0
1/8/2010,97500,99000,95000,97000,30710,-79060,520.9,10389.87988,0
1/11/2010,97000,97500,94000,97000,28680,-76250,515.06,10172.98047,0
1/12/2010,97000,97500,94000,96000,25460,-16850,498.31,10196.86035,0
1/13/2010,96000,97500,92500,97500,20390,4550,508.61,10194.29004,0
1/14/2010,97500,97500,96000,97500,44660,-8900,512.33,10236.16016,0
1/15/2010,97500,97000,95000,97000,46940,-53760,505.42,10120.45996,20000
1/18/2010,97000,96000,93000,95500,33990,-93110,487.13,10067.33008,0
1/19/2010,95500,97000,92500,96000,19960,-200530,495.51,10185.53027,20000
1/20/2010,96000,96500,94000,96000,19680,-111870,489.5,10296.84961,67683
1/21/2010,96000,96000,92500,96000,26680,-9480,478.42,10270.54981,0
1/22/2010,96000,96500,92000,96500,70700,-8240,477.59,10002.17969,0
1/25/2010,96500,96000,94500,96000,13630,-32800,480.91,10012.23047,0
1/26/2010,96000,96500,95000,96000,35750,-106910,497.9,9908.389648,0
1/27/2010,96000,97000,95000,96000,32600,-37280,486.41,10058.63965,0
1/28/2010,96000,97500,91500,96500,23600,-23820,481.76,10038.37988,0
1/29/2010,96500,95000,93000,95000,18870,-34450,481.96,10144.19043,0
